2015-02-16 23:00:49,900 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/pom.xml
2015-02-16 23:00:50,576 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: app:BaaSFrontEnd:0.0.1-SNAPSHOT @ /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/pom.xml.
2015-02-16 23:00:51,316 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BaaSFrontEnd/src/main/java
2015-02-16 23:00:51,316 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /BaaSFrontEnd/src/main/resources
2015-02-16 23:00:51,317 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BaaSFrontEnd/src/test/java
2015-02-16 23:00:52,494 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: app:BaaSFrontEnd:0.0.1-SNAPSHOT @ /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/pom.xml.
2015-02-16 23:00:53,955 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2015-02-16 23:00:55,007 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: app:BaaSFrontEnd:0.0.1-SNAPSHOT @ /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/pom.xml.
2015-02-16 23:00:55,111 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-16 23:00:55,117 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-02-16 23:00:55,121 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-16 23:00:55,121 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/src/test/resources
2015-02-16 23:00:55,314 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-16 23:00:55,317 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-02-16 23:00:55,318 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-16 23:00:55,319 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/src/test/resources
2015-02-16 23:01:22,211 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: app:BaaSFrontEnd:0.0.1-SNAPSHOT @ /Users/parthshah/git/295B_AppBaaS_FrontEnd/BaaSFrontEnd/pom.xml.
2015-02-16 23:01:22,272 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-16 23:01:22,272 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
